SLOPE	INTERCEPT	LABEL	VOWEL	TONE	Y_PRIME
-17.72	140.63	1	LOW /i/	LOW	1
106.7799748	-56.92568236	0	MID /i/	MID	0
142.1117486	-198.9391257	0	HIGH /i/	HIGH	0
-149.111	714.559	1	LOW /i/	LOW	1
-49.2287	374.1166	0	MID /i/	MID	1
56.26957647	-124.118953	0	HIGH /i/	HIGH	0
-70.3	247.6441758	1	LOW /o/	LOW	1
9.460777614	118.3970088	0	MID /o/	MID	1
133.6686074	-267.6718347	0	HIGH /o/	HIGH	0
-73.94290879	467.8065996	1	LOW /o/	LOW	1
-0.195223095	138.3328124	0	MID /o/	MID	1
76.96232549	-304.698124	0	HIGH /o/	HIGH	0
-96.95554079	271.7133119	1	LOW /u/	LOW	1
37.254038	61.66	0	MID /u/	MID	1
209.7736478	-456.7130005	0	HIGH /u/	HIGH	0
-119.4369205	651.1357896	1	LOW /u/	LOW	1
-35.451369	331.407196	0	MID /u/	MID	1
46.52325758	-89.58401307	0	HIGH /u/	HIGH	0
-99.53034312	232.8251307	1	LOW /ọ/	LOW	1
-37.80611795	200.4162503	0	MID /ọ/	MID	1
72.26891166	-53.18357069	0	HIGH /ọ/	HIGH	0
-88.57951142	498.7476025	1	LOW /ọ/	LOW	1
7.410710723	88.42942618	0	MID /ọ/	MID	1
15.24408671	56.82317351	0	HIGH /ọ/	HIGH	1
-207.3900448	392.234675	1	LOW /e/	LOW	1
-86.08688242	319.1127548	0	MID /e/	MID	1
-35.99577333	276.59864	0	HIGH /e/	HIGH	1
-130.4212275	732.9437532	1	LOW /e/	LOW	1
-33.69330263	319.9553484	0	MID /e/	MID	1
20.55924606	30.57015612	0	HIGH /e/	HIGH	1
-242.3723242	345.3627085	1	LOW /ẹ/	LOW	1
-73.57830485	267.4386495	0	MID /ẹ/	MID	1
-13.00512667	201.9259094	0	HIGH /ẹ/	HIGH	1
-119.3588939	585.4074215	1	LOW /ẹ/	LOW	1
-50.51255091	371.4754182	0	MID /ẹ/	MID	1
-1.572740606	172.2280037	0	HIGH /ẹ/	HIGH	1
-144.0711491	295.7415787	1	LOW /a/	LOW	1
-1.365386447	124.0775565	0	MID /a/	MID	1
83.12853223	-98.61736808	0	HIGH /a/	HIGH	0
-43.73725535	305.5685437	1	LOW /a/	LOW	1
6.991123077	85.79300503	0	MID /a/	MID	1
65.34725861	-247.8307253	0	HIGH /a/	HIGH	0
